Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,IS_HAPPY
Montenegro,Central and Eastern Europe,5.581,0.054000000000000006,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.8909999999999999,0.637,0.397,0.166,0.081,2.254,1
Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001,2.43,1.1059999999999999,0.879,0.555,0.581,0.10099999999999999,0.14400000000000002,2.178,1
North Cyprus,Western Europe,5.5360000000000005,0.051,5.636,5.435,10.575999999999999,0.82,73.898,0.795,0.012,0.626,2.43,1.3769999999999998,0.8059999999999999,0.8009999999999999,0.503,0.196,0.2,1.653,1
Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.0070000000000001,0.56,0.326,0.07,0.19899999999999998,2.247,1
Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.412999999999999,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.2409999999999999,0.992,0.511,0.409,0.115,0.06,2.148,0
Hong Kong,East Asia,5.477,0.049,5.5729999999999995,5.38,11.0,0.836,76.82,0.7170000000000001,0.067,0.40299999999999997,2.43,1.525,0.841,0.893,0.408,0.23199999999999998,0.342,1.236,0
Tajikistan,Commonwealth of Independent States,5.466,0.034,5.532,5.4,8.091000000000001,0.86,64.281,0.8320000000000001,-0.055999999999999994,0.5529999999999999,2.43,0.508,0.895,0.498,0.5479999999999999,0.152,0.247,2.6189999999999998,0
Vietnam,Southeast Asia,5.4110000000000005,0.039,5.4879999999999995,5.334,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,2.43,0.8170000000000001,0.873,0.616,0.679,0.124,0.091,2.211,0
Libya,Middle East and North Africa,5.41,0.076,5.558,5.2620000000000005,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,0
Malaysia,Southeast Asia,5.3839999999999995,0.049,5.48,5.289,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,2.43,1.2590000000000001,0.797,0.5870000000000001,0.624,0.27,0.064,1.784,0
Indonesia,Southeast Asia,5.345,0.055999999999999994,5.454,5.235,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867,2.43,0.9540000000000001,0.7859999999999999,0.433,0.598,0.541,0.046,1.9869999999999999,0
Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,0.09699999999999999,5.5329999999999995,5.151,8.117,0.636,58.221000000000004,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.14400000000000002,0.124,3.4760000000000004,0
China,East Asia,5.3389999999999995,0.028999999999999998,5.397,5.281000000000001,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.09300000000000001,0.11699999999999999,1.982,0
Ivory Coast,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052000000000000005,0.43799999999999994,0.177,0.092,3.469,0
Armenia,Commonwealth of Independent States,5.2829999999999995,0.057999999999999996,5.397,5.167999999999999,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,0
Nepal,South Asia,5.269,0.07,5.406000000000001,5.132000000000001,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.7020000000000001,0.496,0.488,0.287,0.135,2.642,0
Bulgaria,Central and Eastern Europe,5.266,0.054000000000000006,5.371,5.16,10.016,0.9309999999999999,67.0,0.7879999999999999,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.8230000000000002,0
Maldives,South Asia,5.1979999999999995,0.07200000000000001,5.3389999999999995,5.0569999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825,2.43,1.115,1.015,0.6970000000000001,0.575,0.204,0.073,1.52,0
